Factors,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL
Serine,16193.2309,13130.6930,32331.7402,26011.6835,14153.5350,27878.5274,14513.3342,20643.2275,13280.2244,20731.7101,20604.0662,23389.1499,46281.5058,38748.7218,23062.6334,25270.2215,42346.2453,31576.5007,18926.5856,35944.1668,42863.4331,40515.8058,45055.6150,9713.5636,37414.7750,31399.8078,33314.6890,146004.0197,60523.8692,33761.9724,111666.9063,65821.1637,78419.7509,48841.1234,25295.4472,31141.7035,11067.5014,24835.9786,35849.1690,27413.3682,45186.3344,22479.0100,26095.6248,26258.2977,18327.4203,17707.0967,27410.0064,42922.9206,34626.8512,28439.0997,37731.0014,27340.4712,50219.4676,25717.5646,27552.2198,77826.0442,25500.9840,82019.4227,37126.1832,40346.8617,30628.3569,41035.5161,70636.5205,83901.5055,25970.8112,60204.6983,26844.4056,42350.2396,36019.0965,62496.1649,49846.6038,37731.8260,23809.1807,55383.2116,44511.0076
Stearic acid,22432.7623,20462.3298,28893.9125,36744.7084,21285.6832,26613.3133,21230.3773,23781.8566,17321.0407,28727.3210,29538.5252,35421.5876,25067.1099,35259.3579,31711.1348,34873.3337,24496.7386,21993.2266,17370.5118,27454.8797,29911.7181,31131.5720,19284.2757,19950.0978,16269.6511,20979.7360,43741.0545,31309.5011,25832.7727,33601.9610,27922.4062,28070.3104,28395.2205,26156.3474,27786.7164,25574.6201,19260.1818,27326.6067,21096.8899,24258.5026,27045.1373,29295.9040,25365.4675,30447.2897,25554.1181,21234.6927,30033.3542,46262.5044,21289.3765,35209.8519,39599.7065,34510.4126,35706.4149,36158.0402,41302.6344,49242.7496,32143.3392,50140.3847,23975.6988,33887.2296,21657.8098,43397.9049,33975.3104,36167.4935,32491.8360,33475.6365,22310.7773,38458.6920,37229.7515,71382.6142,27191.9562,25819.9521,26032.8802,34396.9802,23031.1242
Succinic acid,857.7578,992.8210,1179.4905,1236.3213,1195.3625,776.0889,891.8949,792.2685,957.2621,1136.3209,887.8419,1168.8378,1791.7624,806.2942,1652.9913,1000.8258,728.7024,1279.6980,1274.9950,1151.7149,1137.0479,1233.1309,1654.6860,942.8921,1118.1891,1535.7816,1535.6621,1909.6040,1697.0304,1176.0853,1586.1525,1544.5726,2164.5485,1046.1424,1963.9905,947.9862,563.0976,755.8306,788.0481,818.4017,1715.2543,1245.4571,538.2083,1053.5062,931.4810,940.6243,1154.6881,1290.8700,885.7419,1215.2667,1662.3206,944.2425,1763.8427,1767.7477,1371.0835,1598.2082,917.4847,1852.5210,1373.5379,2324.6118,1295.9085,1036.2260,1545.5390,2243.1231,1789.1262,678.8439,1258.6359,1714.4496,1832.6626,1733.0276,1604.2320,1894.2891,1072.9130,1302.5303,468.2250
Threitol,2197.5255,1454.8575,3799.3572,3445.4482,2466.0987,1523.5147,2268.4759,2930.7326,2898.2851,2104.8771,2037.7703,2258.2352,4005.0091,3255.1245,3491.1547,3439.6796,2599.8469,2410.7784,1437.9348,3575.8717,3532.8234,4282.0396,4585.9768,2611.2368,2510.0458,4274.8163,2843.0408,4745.8211,3929.0735,3931.8030,4193.5701,5087.5133,3437.7241,3935.1698,3843.2969,1653.0043,2102.3406,2368.5934,3071.5685,2598.4265,3473.5815,3304.3158,2428.3465,3302.1498,2235.1396,1997.6222,3140.2142,3237.2780,3025.0223,3253.8644,3318.0977,6410.2775,3887.2356,3483.6014,2751.3488,3854.1669,3731.3159,7464.1974,2357.3624,7638.2203,5327.9048,6291.4468,3460.3667,2505.9700,6697.4473,3463.2865,3875.8941,3127.9774,3098.1635,8123.2063,4227.5670,4477.2573,3195.1291,3877.5407,1703.4783
Threonine,24447.7701,21656.9865,25821.6357,31701.6660,18129.3753,34164.2090,18841.4278,23773.8735,17450.7830,25340.8566,24525.9943,25313.8510,40046.4511,26067.5824,19076.9552,23965.7546,37069.7494,38367.6404,20379.2401,36391.2927,37121.8435,46336.7390,48776.7625,17668.6226,34565.5250,42246.1790,44880.0070,96742.0691,47825.3310,45336.4855,77849.8169,75951.6519,61630.2495,49146.6046,28099.4807,31583.7563,13697.5174,29584.2919,24557.7730,22287.9798,50960.1260,35561.4905,20687.0283,32839.5813,19468.5768,18617.3664,32685.2526,33114.5977,31784.7188,30134.6358,33312.7143,30483.7200,55114.5716,31556.7234,30659.4343,54704.9752,33349.7567,69902.8680,37616.3863,76134.2473,36436.6222,58518.6601,62237.6920,60638.0399,26550.1911,43591.4063,34564.5144,35119.5413,30202.5825,62090.8280,35054.6908,37623.3599,25158.9781,53881.3834,30127.9433
trans-4-hydroxy-L-proline,6405.7946,6685.7779,10985.8140,14229.9015,8825.2613,6621.1831,4838.8794,6726.5916,6966.2793,7354.2854,6985.8815,6307.6791,12085.6412,6314.3047,6091.0889,6039.8050,8064.6595,9759.1392,6326.6829,14384.9649,11640.3290,11584.5573,9239.4422,6692.2003,7478.3563,8567.2590,8594.1331,38072.1946,16412.2965,13769.8793,17088.4606,13880.9633,14973.9663,12913.1143,1222.1277,10954.1011,5856.7675,7866.5615,8337.5103,8026.6371,11770.4547,7343.2215,10118.4651,10030.2421,5155.0505,5407.9931,9866.3515,10400.6971,5360.3671,3578.5981,9780.5350,11347.5359,6990.8942,13848.8041,8495.9461,31020.3183,8362.7721,11826.0597,9210.5150,9792.7715,11256.6381,12511.2473,13331.0070,21161.1910,10845.9696,15172.8049,9711.0546,12254.3478,8009.5414,22006.5943,9863.9052,7349.3480,8134.6098,19812.1014,8263.8653
Trans-aconitic acid,1394.7573,1795.1070,2930.7716,2779.6660,2788.5067,1941.2474,1472.9243,3448.7601,1655.2268,2163.7201,2991.1452,1993.8989,3530.9762,2220.2819,1817.7002,2136.2364,1852.3735,3741.6402,1472.8146,2142.6138,2560.2775,4458.6263,2587.6651,1127.4328,2965.4554,2732.1580,2746.6758,3595.0677,2846.7370,2435.0467,4388.7589,3542.8957,5549.0999,3599.0202,3237.5916,1752.8401,1800.9454,1638.5595,2158.0603,2623.3434,2302.9847,5019.0505,1326.5414,2367.7171,2556.8403,1422.3553,3487.2816,2537.9945,1925.1697,2043.0375,3319.2993,2982.2597,3090.9670,1912.9366,1585.1686,2001.1913,3859.1264,2885.0851,5571.7642,11640.8701,2784.3979,5059.6200,3091.3540,9356.2558,2350.6093,4142.5516,1581.8348,4778.2127,3537.1954,9611.8773,3020.9284,4862.6062,2571.8557,5283.4501,1622.8301
Tryptophan,32045.4421,35471.2523,62623.3660,30834.6354,34267.1655,36889.5675,34870.4808,70388.2794,27562.7081,46442.0447,29510.0457,74249.5604,62766.4910,74625.7262,31422.1877,73137.9991,64507.2588,62496.9177,33173.1941,68376.8309,65040.8622,66050.6749,53328.3705,31389.0919,74506.4558,69778.5546,94850.2641,168094.8369,54566.5125,65269.5074,105339.4629,95392.2978,101829.6720,105926.9994,505.8618,21604.5437,22234.4316,40744.9296,33623.3227,47085.4311,67355.0087,76693.0941,51014.3285,68397.0063,27237.4886,49952.1781,66925.7676,94363.1197,33641.4946,46207.0482,59821.2540,45916.3045,97069.8782,58486.6312,46887.7478,107215.5132,47159.8669,110125.7950,72887.0176,115086.9431,65937.3040,88543.2891,97304.7856,87410.7449,72687.9005,56317.5174,79930.4491,107398.1138,80857.3935,81933.4394,70524.7741,112452.0914,58988.0797,98886.2327,39538.1278
Tyrosine,65461.5764,51331.4436,95582.1282,113637.5413,43127.4412,59299.9117,40471.8400,72550.5997,43568.0005,74944.0657,59336.7472,132800.4872,87523.1957,95967.8837,62701.0644,115497.3293,92409.3368,84162.5988,40146.8984,98042.7889,114076.0461,95702.1249,149426.7971,49156.3317,103130.4407,71089.7060,139325.7646,237732.7369,108371.1171,112387.7008,219418.1111,155335.5073,145454.5202,161571.9727,10081.7754,48151.9728,38954.9488,77620.5172,51568.8571,78641.2683,95237.0400,113627.7923,49059.6804,94066.7045,35743.9200,78642.9322,92631.9804,100256.7087,61673.8297,84119.0297,99717.2709,81339.5751,158031.1582,85224.5981,78905.1138,147716.4137,69994.3538,157659.3006,114879.8515,131860.4855,94309.7189,155706.5589,121089.7715,111315.8168,146207.7934,85471.8387,88374.2256,132838.5217,106984.1035,125748.1997,99189.4908,151345.9654,95384.0367,125451.0643,68430.9588
Urea,3860294.7220,3230542.6910,4912070.8880,3507068.5360,1521851.3350,3629343.3110,2462517.9400,3016292.4120,2371168.7050,5087831.3960,2598198.9770,3562262.3700,6091312.4600,2954709.2140,2207490.5670,4110457.2260,5746788.3050,7665911.4290,3055884.3860,6547930.3270,5432367.8960,4114399.2980,3613759.9740,2835901.4950,4886102.1060,6338555.8680,2748725.3200,8180856.6120,5247660.7750,4343513.4700,6863281.9100,5989805.2130,5755706.3110,6382678.7460,122172.6052,2026479.9830,3000548.5830,4032656.8920,3158374.2210,3117473.9150,4909952.4040,3385298.4320,2814165.8130,6266122.4130,3137627.5380,3189055.8930,2851674.4160,8383218.2560,3250594.2540,3453458.7610,2780498.6700,6001279.9630,5215796.1330,4339934.7620,3693293.2620,5132037.6060,2587392.4330,3910038.3410,4019537.4100,4283399.5040,5522444.9870,5220126.7560,4434402.4070,5431576.1730,8135486.7130,3393548.9980,4540206.7750,4464951.6680,5358299.8290,5262830.5940,5023218.8350,4972299.7000,4448295.2430,8405689.4150,2943166.5630
Uric acid,58341.1689,49711.3862,65151.5531,89706.3053,81950.8730,81023.3595,93557.4827,79051.4824,49872.1003,79746.0004,67103.7456,72280.4492,98900.7131,78284.0335,37775.8675,91427.0621,219111.7388,145242.1839,33151.7773,84823.8443,119503.7555,172536.5978,101096.9734,112875.5273,200972.5402,163971.5265,80714.5234,307907.7620,131025.1225,133161.0810,389859.3633,227772.7005,135887.9220,177536.5106,107879.4176,28806.5110,47109.7533,87306.5313,58674.2830,80640.8594,129340.3903,256024.7908,63819.4545,104457.1555,73790.5124,60216.5786,143122.1736,88138.6272,53772.0611,68850.2167,84442.6674,95636.9200,130175.7352,66925.5523,114674.4416,82834.7876,85873.4613,175546.1219,171901.9983,250353.9052,111362.9362,252044.3317,110802.4767,139273.0200,183540.3852,81517.7895,114361.6441,160935.2165,125724.9925,173819.6281,126409.8051,206999.1248,72978.6978,218454.8102,37214.1864
Valine,179807.5214,154433.4923,258668.8398,319385.4032,178226.7331,199634.8022,138021.7887,223037.7327,127542.1935,211378.0774,225290.0589,322819.1250,327023.9721,247710.4122,158830.7822,275299.6628,294670.4779,261532.2461,153395.0609,407469.8102,384850.0368,265077.3005,290836.7624,188446.6911,382283.7739,345702.4497,372394.3578,837334.6941,407838.9587,327089.0667,517327.5260,519508.6523,439491.4909,505907.7677,2201.2507,159112.4669,114842.0928,229681.7661,156213.1888,204882.9411,303623.2578,271137.2644,150926.6767,273512.6269,138764.5865,186346.5306,292320.5510,347472.4723,232036.0692,237161.7419,259242.8506,262591.1022,453193.3194,309764.3036,246027.8813,557166.5563,246422.2118,412726.9389,445959.7223,291328.0075,374332.8616,484900.8140,315445.6901,382453.2963,441735.3856,225847.6389,346561.1422,418385.2956,299135.2487,557966.7577,268081.4870,348981.1884,209767.2133,350066.1179,174697.7482
